"case","event"
"case_137","vulnD|storage"
"case_137","serD|unassigned"
"case_137","vulnD|storage"
"case_137","serD|unassigned"
"case_137","vulnD|storage"
"case_137","serD|ATCcomm"
"case_137","vulnD|storage"
"case_138","serD|unassigned"
"case_138","vulnD|storage"
"case_138","serD|unassigned"
"case_138","vulnD|storage"
"case_138","serD|unassigned"
"case_138","vulnD|storage"
"case_138","serD|ATCcomm"
"case_138","vulnD|storage"
"case_139","serD|unassigned"
"case_139","vulnD|storage"
"case_139","serD|unassigned"
"case_139","vulnD|storage"
"case_139","serD|unassigned"
"case_139","vulnD|storage"
"case_139","serD|ATCcomm"
"case_139","vulnD|storage"
"case_140","serD|unassigned"
"case_140","vulnD|storage"
"case_140","serD|unassigned"
"case_140","vulnD|storage"
"case_140","serD|unassigned"
"case_140","vulnD|storage"
"case_140","serD|ATCcomm"
"case_140","vulnD|storage"
"case_141","serD|unassigned"
"case_141","vulnD|storage"
"case_141","serD|unassigned"
"case_141","vulnD|storage"
"case_141","hostD|http(s)"
"case_141","serD|unassigned"
"case_141","vulnD|storage"
"case_141","hostD|http(s)"
"case_141","serD|ATCcomm"
"case_141","vulnD|storage"
"case_141","hostD|http(s)"
"case_142","serD|unassigned"
"case_142","vulnD|storage"
"case_142","serD|unassigned"
"case_142","vulnD|storage"
"case_142","serD|unassigned"
"case_142","vulnD|storage"
"case_142","serD|ATCcomm"
"case_142","vulnD|storage"
"case_143","serD|unassigned"
"case_143","vulnD|storage"
"case_143","serD|unassigned"
"case_143","vulnD|storage"
"case_143","serD|unassigned"
"case_143","vulnD|storage"
"case_143","serD|ATCcomm"
"case_143","vulnD|storage"
"case_144","serD|unassigned"
"case_144","vulnD|storage"
"case_144","serD|unassigned"
"case_144","vulnD|storage"
"case_144","serD|unassigned"
"case_144","vulnD|storage"
"case_144","serD|ATCcomm"
"case_144","vulnD|storage"
"case_145","serD|unassigned"
"case_145","vulnD|storage"
"case_145","serD|unassigned"
"case_145","vulnD|storage"
"case_145","serD|unassigned"
"case_145","vulnD|storage"
"case_145","hostD|http(s)"
"case_145","serD|ATCcomm"
"case_145","vulnD|http(s)"
